time0,eta0,time1,eta1,time2,eta2,time3,eta3,time4,eta4,time5,eta5,time6,eta6,time7,eta7,time8,eta8,time9,eta9,time10,eta10,time11,eta11,time12,eta12,time13,eta13,time14,eta14,time15,eta15,time16,eta16,time17,eta17,time18,eta18,time19,eta19,time20,eta20,time21,eta21,time22,eta22,time23,eta23,time24,eta24,time25,eta25,time26,eta26,time27,eta27,time28,eta28,time29,eta29,time30,eta30,time31,eta31,time32,eta32,time33,eta33,time34,eta34
14.714667,361.81,15.529745,238.10052,14.208333,374.23,23.99932,-45.11686,23.991854,124.23357,23.991667,-69.27878,23.991692,134.44739,18.716667,170.71793,19.851553,374.23,19.593912,346.15002,19.716667,260.00424,20.725,366.9829,22.011526,105.04,22.17464,349.38998,22.0385,99.11682,9.363964,188.1503,9.333333,327.32248,10.102361,172.55913,10.471015,138.24995,9.118969,197.44006,8.910821,360.11313,9.15,229.26184,9.483334,202.52138,18.820227,371.8,18.749454,153.63997,19.407774,371.8,18.75,143.29755,nan,nan,nan,nan,nan,nan,nan,nan,10.720981,163.58194,10.701129,285.06046,10.691667,359.10995,11.541349,108.55001
14.729784,375.58002,15.694297,388,16.75,374.23,23.999828,-44.652946,23.99358,124.23357,24,-69.27878,23.992426,135.11632,20.783333,170.71793,19.86667,388,20.083372,346.15002,21.783333,260.00424,23,366.9829,22.688051,105.04,22.217026,388,22.6865,118.55682,9.58335,388,10.1,327.32248,10.332039,381.78442,10.741522,138.24995,9.20557,276.32947,9.049002,364.25854,9.883333,229.26184,10.216666,202.52138,19.52169,371.8,18.76117,153.99142,19.425558,388,20.75,143.29755,nan,nan,nan,nan,nan,nan,nan,nan,10.721535,163.58194,10.8068075,288.2308,11.4,380.35995,11.61703,110.820435
16.508333,361.81003,18.351576,374.22995,17.175,360.46002,nan,nan,nan,nan,nan,nan,nan,nan,21.065561,162.34793,21.646376,379.63,21.955103,337.78003,22.041666,251.63425,23.999586,334.8529,23.991667,72.909996,23.993366,355.87,23.991667,86.42682,13.78709,372.07,10.591666,311.39252,13.33417,365.85443,11.258333,122.31995,9.811212,259.85944,10.058333,347.78854,10.744784,212.79184,10.725,186.05135,20.551756,357.48996,21.479153,139.68146,20.858334,373.68997,21.860844,128.98752,nan,nan,nan,nan,nan,nan,nan,nan,11.298364,145.49194,11.91342,270.1408,11.958333,362.26996,12.406119,92.73043
18.675,361.81003,18.366692,388,19.341667,360.46002,nan,nan,nan,nan,nan,nan,nan,nan,21.309439,384.50842,21.655565,388,21.985865,365.80243,22.333334,251.63425,23.999853,334.8609,24,72.909996,23.99943,361.3935,24,86.42682,13.804577,388,17.666666,311.39252,14.072356,388,18.333334,122.31995,10.2801895,259.85944,10.75,368.53854,10.990038,212.79184,11.416667,186.05135,20.837765,357.48996,21.485172,139.68146,21.825,373.68997,22.102135,128.98752,nan,nan,nan,nan,nan,nan,nan,nan,11.35308,145.49194,11.944914,298.83047,12.566667,380.51996,12.785579,104.11421
19.595375,350.74002,19.35,376.93,20.896458,349.39008,nan,nan,nan,nan,nan,nan,nan,nan,23,330.50845,23.000385,344.8,23,333.40244,23,230.03427,nan,nan,nan,nan,nan,nan,nan,nan,18.109108,372.07,18.546797,295.46252,18.599117,372.07,19.491453,106.38994,18.065023,36.839462,18.252941,145.51854,18.171808,-10.228195,18.91907,-36.968628,22.789387,307.8099,23,90.81146,23,335.62,23,101.7175,nan,nan,nan,nan,nan,nan,nan,nan,12.813361,125.78194,12.841666,279.12048,13.811326,360.80994,13.508333,84.404205
20.127403,366.70087,21.458334,376.93,20.923727,350.20813,nan,nan,nan,nan,nan,nan,nan,nan,23.001,330.50845,23.000574,344.8,23.001,333.40244,23.001,230.94472,nan,nan,nan,nan,nan,nan,nan,nan,18.203852,374.91232,18.564287,311.39252,18.691563,372.07,19.491568,106.38994,18.083813,37.40314,18.392645,145.51854,18.442965,236.78358,19.016615,-36.968628,22.939629,307.8099,23.001,91.72191,23.001,335.62,23.001,101.7175,nan,nan,nan,nan,nan,nan,nan,nan,12.869972,177.35194,13.508333,279.12048,13.834203,360.80994,14.175,84.404205
23.000725,305.95087,23,326.98,23,311.0581,nan,nan,nan,nan,nan,nan,nan,nan,23.991667,298.37845,23.994877,312.66998,23.998892,301.27243,23.991667,198.81471,nan,nan,nan,nan,nan,nan,nan,nan,19.365515,356.2823,19.4,292.76254,20.376581,353.43997,20.066668,87.75991,18.541666,23.093174,19.294104,131.20851,19.850552,222.47356,19.878536,-51.278595,23.993542,275.6799,23.995367,59.591904,23.997679,303.49,23.994427,69.587494,nan,nan,nan,nan,nan,nan,nan,nan,14.340865,158.45195,14.681925,260.2205,14.95718,341.9099,15.160992,65.50421
23.000912,305.95087,23.001,326.98,23.001,311.96857,nan,nan,nan,nan,nan,nan,nan,nan,24,298.37845,23.996542,312.71994,23.999348,301.68768,24,198.81471,nan,nan,nan,nan,nan,nan,nan,nan,19.41782,357.85144,20.05,292.76254,20.382736,353.62463,20.716667,87.75991,19.258333,23.093174,19.482094,131.20851,19.862854,233.68042,20.063446,-51.278595,23.9941,275.6799,23.99735,61.398903,23.998713,303.521,23.99841,69.70697,nan,nan,nan,nan,nan,nan,nan,nan,14.439117,158.45195,14.724308,298.83047,15.003984,343.31406,15.296232,188.7016
23.99545,273.82086,23.9919,294.85,23.991667,279.83856,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20.34858,346.5114,20.767376,281.42252,20.929893,342.2846,21.400618,76.4199,19.617853,17.153141,19.775,125.26854,20.292574,227.74039,20.442118,-57.218628,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.690709,139.28194,16.011137,279.66046,15.7,324.14407,16.033333,169.53162
23.99891,276.97443,23.994188,294.85,24,279.83856,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20.374079,347.2764,20.775684,281.67175,20.969475,342.2846,21.445444,76.4199,19.717333,17.153141,20.15,136.51854,20.299093,233.68042,20.645658,128.19687,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.691135,139.29472,16.016342,279.81662,16.358334,324.14407,16.691668,169.53162
