time0,eta0,time1,eta1,time2,eta2,time3,eta3,time4,eta4,time5,eta5,time6,eta6,time7,eta7,time8,eta8,time9,eta9,time10,eta10,time11,eta11,time12,eta12,time13,eta13,time14,eta14,time15,eta15,time16,eta16,time17,eta17,time18,eta18,time19,eta19,time20,eta20,time21,eta21,time22,eta22,time23,eta23,time24,eta24,time25,eta25,time26,eta26,time27,eta27,time28,eta28,time29,eta29,time30,eta30,time31,eta31,time32,eta32,time33,eta33,time34,eta34
19.914083,388,21.229227,179.96881,21.791666,363.16006,nan,nan,nan,nan,nan,nan,nan,nan,23.001,327.57364,23.001,96.36578,23.001,182.14655,23.00033,170.88223,nan,nan,nan,nan,nan,nan,nan,nan,18.360062,349.4487,18.489697,112.212234,19.158333,185.47897,19.491667,85.45467,18.1,137.27641,17.895283,110.80002,18.489079,360.19,18.616526,116.91582,23,167.54004,23.000906,294.85916,23.001,99.003784,23.000639,114.00285,nan,nan,nan,nan,nan,nan,nan,nan,12.960341,339.4,13.508333,185.9214,13.841666,368.28998,14.175,124.24727
23,327.25,23,130.01883,23,324.01004,nan,nan,nan,nan,nan,nan,nan,nan,23.996618,295.44363,23.999304,64.23578,23.995224,150.01654,23.991667,138.75223,nan,nan,nan,nan,nan,nan,nan,nan,19.066668,330.81866,19.714775,93.582275,19.733334,166.84895,20.652433,66.824646,18.570166,122.966446,18.875,96.48999,19.208334,345.87997,20.061718,102.60585,23.994598,135.41003,23.997797,262.72916,23.991667,66.87378,23.991667,81.87285,nan,nan,nan,nan,nan,nan,nan,nan,14.078809,320.5,14.091666,167.02141,14.425,349.38995,14.924458,105.347275
23.001,327.25,23.001,130.04881,23.001,324.01004,nan,nan,nan,nan,nan,nan,nan,nan,23.997446,295.44363,23.999754,64.64583,23.998981,150.01654,24,138.75223,nan,nan,nan,nan,nan,nan,nan,nan,19.716667,330.81866,19.735224,94.19581,20.383333,166.84895,20.66994,66.824646,18.861109,388,19.591667,117.990005,19.925,345.87997,20.135529,169.8436,23.995066,135.41003,23.998487,262.72916,24,74.46491,24,81.87285,nan,nan,nan,nan,nan,nan,nan,nan,14.121192,321.77155,14.775,167.02141,15.108334,349.38995,15.229979,383.66083
23.991667,295.12,23.991667,97.91881,23.992104,291.88004,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20.066668,319.47864,20.596115,82.8558,20.759333,155.50894,21.066668,55.484634,19.558533,382.05997,19.775,112.05003,20.108334,339.93994,20.441668,163.90356,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.033334,302.60153,15.366667,147.8514,16.076704,330.21997,16.033333,364.49084
24,295.12,24,97.91881,23.999166,291.88004,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20.466667,319.47864,20.776016,246.73672,20.980377,162.14027,21.466667,55.484634,19.65582,384.9786,20.15,112.05003,20.483334,339.93994,20.816668,163.90356,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.691667,302.60153,16.025,167.60138,16.249916,335.41632,16.691668,364.49084
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22.748692,317.58865,22.088598,244.8467,21.637789,160.25024,21.525,53.59466,22.389143,383.35864,21.154057,110.42999,20.533333,338.31998,22.668648,162.28358,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.6124,284.51154,16.583334,149.51135,17.265377,317.32635,17.25,346.40088
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22.87522,317.58865,22.262873,244.8467,21.791092,160.25024,23,97.84467,22.394241,388,21.156662,112.80341,23,338.31998,22.911985,169.58382,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.974333,284.51154,17.358334,149.51135,17.342957,388,18.025,346.40088
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,23.991667,285.45865,23.99779,212.71669,23.991667,128.12024,23.991667,65.71467,23.993095,355.87,23.991667,80.67341,23.994684,306.18997,23.991667,137.45381,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.84602,268.31152,17.858334,133.31136,18.739851,371.8,18.553556,330.20087
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24,285.45865,23.999332,212.76299,24,128.37024,24,73.3058,23.996653,355.87,24,80.9234,23.998611,306.18997,24,137.45381,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.87926,298.5929,18.633333,133.31136,18.818785,374.168,19.226917,330.20087
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.8675,282.39288,19.133333,117.11136,20.09429,357.968,19.8,314.00085
