Best,Active,Candidate
3989421000,3989421000,3989421000
1055028100,1055028100,1055028100
1043067800,1193696500,1193696500
1043067800,1181489000,1181489000
1043067800,1558745000,1558745000
1030645800,1228062000,1228062000
1030645800,1192373900,1192373900
1030645800,1178467200,1178467200
925253250,1446910600,1446910600
925253250,2132459500,2132459500
925253250,1116445600,1116445600
925253250,2205245000,2205245000
925253250,1190241700,1190241700
925253250,1219899600,1219899600
925253250,1621614600,1621614600
925253250,1290497300,1290497300
925253250,1207597400,1207597400
925253250,1004740350,1004740350
925253250,1133862900,1133862900
925253250,1856032500,1856032500
925253250,1641966300,1641966300
925253250,1050903550,1050903550
925253250,1095606100,1095606100
861155900,1378256500,1378256500
861155900,1471249300,1471249300
861155900,1208588500,1208588500
861155900,1015147100,1015147100
861155900,1120301000,1120301000
861155900,1523431300,1523431300
861155900,897225400,897225400
861155900,1042115800,1042115800
861155900,1461491300,1461491300
861155900,1166826600,1166826600
861155900,1145784200,1145784200
861155900,1623709000,1623709000
861155900,1361514500,1361514500
861155900,1692094100,1692094100
861155900,2353572900,2353572900
861155900,1365494900,1365494900
861155900,2089765200,2089765200
861155900,1342773100,1342773100
861155900,1931894100,1931894100
861155900,983708160,983708160
861155900,1669654300,1669654300
861155900,1122477300,1122477300
861155900,976897700,976897700
861155900,1082791400,1082791400
861155900,1809689100,1809689100
861155900,2422580700,2422580700
861155900,1180801800,1180801800
795807400,1200275000,1200275000
795807400,960059900,960059900
795807400,1125682800,1125682800
795807400,2689670100,2689670100
795807400,2233398500,2233398500
795807400,1233351300,1233351300
795807400,1037590500,1037590500
795807400,965106000,965106000
795807400,1114520600,1114520600
795807400,1026026560,1026026560
795807400,952666560,952666560
795807400,1139925200,1139925200
795807400,1920990000,1920990000
795807400,1618230500,1618230500
795807400,1007687740,1007687740
795807400,1040228900,1040228900
795807400,1310346800,1310346800
795807400,1067202300,1067202300
795807400,1787305200,1787305200
795807400,1375817700,1375817700
795807400,1102816000,1102816000
795807400,1413268700,1413268700
795807400,1631285800,1631285800
795807400,2272423700,2272423700
781352100,1229471100,1229471100
781352100,929095500,929095500
781352100,1017550600,1017550600
781352100,1006687000,1006687000
781352100,1070685600,1070685600
781352100,1238921500,1238921500
781352100,927714400,927714400
781352100,1024197400,1024197400
781352100,1182631700,1182631700
781352100,1103629400,1103629400
781352100,1051506050,1051506050
781352100,1263339100,1263339100
781352100,1105226400,1105226400
781352100,1229569000,1229569000
781352100,935876000,935876000
781352100,1492593000,1492593000
781352100,995840060,995840060
781352100,1070458400,1070458400
781352100,1077434900,1077434900
781352100,1619659900,1619659900
781352100,1004952450,1004952450
781352100,956283970,956283970
781352100,1455651200,1455651200
781352100,958483900,958483900
781352100,1113031600,1113031600
781352100,1358668700,1358668700
781352100,965940500,965940500
781352100,1513739900,1513739900
781352100,1334261900,1334261900
781352100,1875856500,1875856500
781352100,1129707800,1129707800
781352100,1104870700,1104870700
781352100,1071692900,1071692900
781352100,1295213300,1295213300
779680060,1756406500,1756406500
779680060,1045598660,1045598660
779680060,1381049600,1381049600
779680060,2446368800,2446368800
779680060,1051846800,1051846800
779680060,1410172700,1410172700
779680060,2309962000,2309962000
779680060,1244544900,1244544900
779680060,1130380400,1130380400
779680060,1441730000,1441730000
779680060,1102880300,1102880300
779680060,1329874300,1329874300
779680060,1803258000,1803258000
779680060,1729549300,1729549300
779680060,1609830500,1609830500
779680060,1468916500,1468916500
779680060,1178883500,1178883500
779680060,1121257300,1121257300
779680060,1104079500,1104079500
779680060,1331193600,1331193600
779680060,1691071400,1691071400
779680060,1254217300,1254217300
779680060,1322372200,1322372200
779680060,1351579400,1351579400
779680060,1419670000,1419670000
779680060,2234429700,2234429700
779680060,1009452200,1009452200
779680060,949741900,949741900
779680060,2175413500,2175413500
779680060,1326200600,1326200600
779680060,2034482200,2034482200
779680060,1077471100,1077471100
779680060,1126919300,1126919300
779680060,1030496100,1030496100
779680060,1236579800,1236579800
779680060,1599167900,1599167900
779680060,1668836500,1668836500
779680060,1562621000,1562621000
779680060,1033477300,1033477300
779680060,1118236900,1118236900
779680060,1483975200,1483975200
779680060,1099546900,1099546900
779680060,2171207200,2171207200
779680060,1039798600,1039798600
779680060,1000759600,1000759600
779680060,1819006500,1819006500
779680060,2213954000,2213954000
779680060,1146936800,1146936800
779680060,1080496000,1080496000
779680060,1106511500,1106511500
779680060,1590929800,1590929800
779680060,1450301000,1450301000
779680060,1119201400,1119201400
779680060,913634100,913634100
779680060,1965324300,1965324300
779680060,1425698300,1425698300
779680060,925967360,925967360
779680060,2148707600,2148707600
779680060,1469698600,1469698600
779680060,1030858940,1030858940
779680060,1376151200,1376151200
779680060,1789344100,1789344100
779680060,1622268200,1622268200
779680060,1179981000,1179981000
779680060,1191280500,1191280500
779680060,987717600,987717600
779680060,1313694800,1313694800
779680060,1117480000,1117480000
779680060,1115483400,1115483400
779680060,1647263900,1647263900
779680060,1112079200,1112079200
779680060,1057561500,1057561500
779680060,931580000,931580000
779680060,1066801300,1066801300
779680060,983823600,983823600
779680060,1075171000,1075171000
779680060,1150502300,1150502300
779680060,1315656400,1315656400
779680060,1895900800,1895900800
779680060,1551652200,1551652200
779680060,1230224400,1230224400
779680060,2605585200,2605585200
779680060,1736042200,1736042200
779680060,1127195800,1127195800
779680060,1156832400,1156832400
779680060,1279165400,1279165400
779680060,1415319800,1415319800
779680060,1045080960,1045080960
779680060,1039604350,1039604350
779680060,2362049000,2362049000
779680060,1090426800,1090426800
779680060,1155062900,1155062900
779680060,1744214400,1744214400
779680060,1076050200,1076050200
779680060,1068091970,1068091970
779680060,1199126300,1199126300
779680060,1333835600,1333835600
779680060,1652670600,1652670600
779680060,1080980400,1080980400
779680060,2682365200,2682365200
779680060,1286272400,1286272400
779680060,1501978500,1501978500
779680060,1778137300,1778137300
779680060,1149470500,1149470500
779680060,1615564000,1615564000
779680060,2492113400,2492113400
779680060,2417457400,2417457400
779680060,1566954600,1566954600
779680060,1150388100,1150388100
779680060,1524853500,1524853500
779680060,1100367700,1100367700
779680060,2126764500,2126764500
779680060,1109758000,1109758000
779680060,1810112600,1810112600
779680060,1199051000,1199051000
779680060,1222146000,1222146000
779680060,1085041900,1085041900
779680060,1094622100,1094622100
779680060,1098934900,1098934900
779680060,2246865000,2246865000
779680060,2150653200,2150653200
779680060,977637400,977637400
779680060,909747400,909747400
779680060,938537200,938537200
779680060,1093440000,1093440000
779680060,1214681700,1214681700
779680060,1635772800,1635772800
779680060,1576005200,1576005200
779680060,1388585900,1388585900
779680060,1489089300,1489089300
779680060,1343928700,1343928700
779680060,1232924500,1232924500
779680060,1234474900,1234474900
779680060,2293459500,2293459500
779680060,1617943300,1617943300
779680060,1719054300,1719054300
779680060,2138268300,2138268300
779680060,2398600200,2398600200
779680060,1115603200,1115603200
779680060,1132499200,1132499200
779680060,1077316500,1077316500
779680060,1171931300,1171931300
765014660,815207230,815207230
765014660,2189303000,2189303000
765014660,1068432900,1068432900
765014660,1475951900,1475951900
765014660,1674654800,1674654800
765014660,1174443800,1174443800
765014660,915953400,915953400
765014660,1297802600,1297802600
765014660,1943734700,1943734700
765014660,1012358300,1012358300
765014660,1346756200,1346756200
765014660,1947507000,1947507000
765014660,1035517760,1035517760
765014660,1282307800,1282307800
765014660,1128863500,1128863500
765014660,963451650,963451650
765014660,2104388000,2104388000
765014660,1208790900,1208790900
765014660,1888402400,1888402400
765014660,1753343900,1753343900
765014660,1030109300,1030109300
765014660,1418538500,1418538500
765014660,1197780100,1197780100
765014660,1070415900,1070415900
765014660,1055945800,1055945800
765014660,1279885400,1279885400
765014660,1814430500,1814430500
765014660,1048102100,1048102100
765014660,1295180500,1295180500
765014660,1623614300,1623614300
765014660,1351386200,1351386200
765014660,1181542900,1181542900
765014660,1060125200,1060125200
765014660,1185099500,1185099500
765014660,1266431200,1266431200
765014660,1210753500,1210753500
765014660,2488514600,2488514600
765014660,1147616900,1147616900
765014660,1227245000,1227245000
765014660,2351023400,2351023400
765014660,1647201400,1647201400
765014660,1408988700,1408988700
765014660,2151828000,2151828000
765014660,1085009400,1085009400
765014660,1158175700,1158175700
765014660,1233727600,1233727600
765014660,2091793700,2091793700
765014660,966574460,966574460
765014660,1101954600,1101954600
765014660,1196067200,1196067200
765014660,1166946700,1166946700
765014660,1053131460,1053131460
765014660,1212453400,1212453400
765014660,1236519800,1236519800
765014660,1174080500,1174080500
765014660,1144403800,1144403800
765014660,1089856100,1089856100
765014660,1657513300,1657513300
765014660,1180610400,1180610400
765014660,2209936600,2209936600
765014660,953800060,953800060
765014660,1627320600,1627320600
765014660,970482300,970482300
765014660,1843271700,1843271700
765014660,1079524900,1079524900
765014660,973553200,973553200
765014660,1086371000,1086371000
765014660,923800900,923800900
765014660,913150900,913150900
765014660,1299327000,1299327000
765014660,1391299300,1391299300
765014660,1568111900,1568111900
765014660,1050963500,1050963500
765014660,1154271500,1154271500
765014660,1438512300,1438512300
765014660,1497104400,1497104400
765014660,1085059500,1085059500
765014660,1035409660,1035409660
765014660,1099123700,1099123700
765014660,1715347100,1715347100
765014660,1086092300,1086092300
765014660,1188817400,1188817400
765014660,1398670800,1398670800
765014660,1628002400,1628002400
765014660,1121507100,1121507100
765014660,1131686900,1131686900
765014660,1081856900,1081856900
765014660,1296408400,1296408400
765014660,1198896900,1198896900
765014660,1327985400,1327985400
765014660,1084839300,1084839300
750649500,883337100,883337100
750649500,938849700,938849700
750649500,1167898500,1167898500
750649500,2167079000,2167079000
750649500,1106999700,1106999700
750649500,1133259600,1133259600
750649500,1316924500,1316924500
750649500,1475699200,1475699200
720615360,1044180700,1044180700
720615360,1460055900,1460055900
720615360,1088438000,1088438000
720615360,1598876000,1598876000
720615360,1112603400,1112603400
720615360,1105650600,1105650600
720615360,900075260,900075260
720615360,932540100,932540100
720615360,905642560,905642560
720615360,1024651100,1024651100
720615360,1062966900,1062966900
720615360,996017500,996017500
720615360,1211994600,1211994600
720615360,1136208400,1136208400
720615360,1807648500,1807648500
720615360,1847240100,1847240100
720615360,1238791000,1238791000
720615360,1048131400,1048131400
720615360,965075800,965075800
720615360,1364435200,1364435200
720615360,1153968500,1153968500
720615360,1445546500,1445546500
720615360,1086782300,1086782300
720615360,2186999600,2186999600
720615360,1080537100,1080537100
720615360,1459651000,1459651000
720615360,1204313900,1204313900
720615360,2226628600,2226628600
720615360,1180629100,1180629100
720615360,1137653800,1137653800
720615360,1079031700,1079031700
720615360,1509734300,1509734300
720615360,721439040,721439040
705772740,1043828740,1043828740
705772740,948401400,948401400
705772740,911298000,911298000
705772740,980520600,980520600
705772740,1720134500,1720134500
705772740,1239280100,1239280100
705772740,1508834700,1508834700
705772740,961480800,961480800
705772740,2326241000,2326241000
705772740,1282828400,1282828400
705772740,944652500,944652500
705772740,1075881900,1075881900
705772740,1195136100,1195136100
705772740,2377127200,2377127200
705772740,1562037500,1562037500
705772740,1213361000,1213361000
705772740,1302645600,1302645600
705772740,1569930000,1569930000
705772740,1313752200,1313752200
705772740,1107765400,1107765400
705772740,1262176100,1262176100
703130200,1590905500,1590905500
703130200,1372429200,1372429200
703130200,1391881000,1391881000
703130200,1444901000,1444901000
703130200,1041853800,1041853800
703130200,1085519400,1085519400
703130200,1220703000,1220703000
703130200,1777565800,1777565800
703130200,1535029400,1535029400
703130200,1508839000,1508839000
703130200,1123969000,1123969000
703130200,1930322600,1930322600
703130200,1274488800,1274488800
703130200,1358847400,1358847400
703130200,1212445700,1212445700
703130200,2279496200,2279496200
703130200,980954400,980954400
703130200,975987700,975987700
703130200,960752200,960752200
703130200,1492684200,1492684200
703130200,1143163800,1143163800
703130200,1017890500,1017890500
703130200,1933591600,1933591600
703130200,1148789500,1148789500
703130200,1214667800,1214667800
703130200,957066600,957066600
703130200,1500048100,1500048100
666962050,741349300,741349300
666962050,1480744700,1480744700
666962050,1046285060,1046285060
666962050,1196319000,1196319000
666962050,1400054700,1400054700
666962050,1095321900,1095321900
666962050,1257569300,1257569300
666962050,1564251400,1564251400
666962050,1304445400,1304445400
666962050,1040463360,1040463360
666962050,1284931500,1284931500
666962050,1144371600,1144371600
666962050,2063921200,2063921200
666962050,1177607200,1177607200
666962050,867821200,867821200
666962050,1565142800,1565142800
666962050,821243100,821243100
666962050,1040188900,1040188900
666962050,1107093600,1107093600
666962050,2214576600,2214576600
666962050,2223194400,2223194400
666962050,1007336700,1007336700
666962050,1081797500,1081797500
666962050,1321060200,1321060200
666962050,1307138700,1307138700
666962050,1145443300,1145443300
666962050,1130366700,1130366700
666962050,1148716800,1148716800
666962050,1101838000,1101838000
666962050,981335000,981335000
666962050,1484648000,1484648000
666962050,2092101000,2092101000
666962050,1031015900,1031015900
666962050,1185997400,1185997400
666962050,1775078300,1775078300
666962050,1138882700,1138882700
666962050,1113240400,1113240400
666962050,1183803600,1183803600
666962050,1219627800,1219627800
